code,performanceExpPubDate,performanceExpStatDate,performanceExpUpdateDate,performanceExpressTotalAsset,performanceExpressNetAsset,performanceExpressEPSChgPct,performanceExpressROEWa,performanceExpressEPSDiluted,performanceExpressGRYOY,performanceExpressOPYOY
sh.600000,2010-01-05,2009-12-31,2010-01-05,1622000000000.000000,0.000000,0.076900,0.900000,1.620000,0.057945,0.124902
sh.600007,2010-03-17,2009-12-31,2010-03-17,8966160000.000000,4359690000.000000,-0.064470,0.000000,0.290000,-0.028839,-0.118301
sh.600007,2010-08-25,2010-06-30,2010-08-25,9174340000.000000,4339780000.000000,-0.041939,0.000000,0.120000,0.030749,-0.269256
sh.600018,2010-01-12,2009-12-31,2010-01-12,63010000000.000000,32240000000.000000,-0.041415,0.000000,0.178900,-0.106881,-0.249916
sh.600019,2010-01-16,2009-12-31,2010-01-16,200926000000.000000,95111000000.000000,-0.040327,6.190000,0.330000,-0.014563,-0.130798
sh.600030,2010-01-13,2009-12-31,2010-01-13,206693240000.000000,0.000000,0.249459,0.000000,1.350000,0.242991,0.386148
sh.600036,2010-04-14,2010-03-31,2010-04-14,2199000000000.000000,0.000000,0.080088,0.000000,0.000000,0.361799,-1.000000
sh.600037,2010-01-30,2009-12-31,2010-01-30,5863487044.230000,4471835157.820000,0.000169,0.000000,0.310300,0.161894,-0.029247
sh.600039,2010-08-04,2010-06-30,2010-08-04,7443168894.670000,914388106.020000,0.005475,0.000000,0.023800,0.540995,0.086625
sh.600073,2010-03-18,2009-12-31,2010-03-18,2339388400.000000,758887300.000000,-0.205632,0.000000,-0.190000,1.156672,-11.263191
sh.600081,2010-03-23,2009-12-31,2010-03-23,1299020318.470000,360450426.020000,0.321672,8.793200,0.096800,6.251540,1.000000
sh.600081,2010-08-13,2010-06-30,2010-08-13,1622354746.170000,485486845.800000,0.435558,29.561600,0.398800,-1.000000,20.405553
sh.600081,2010-10-19,2010-09-30,2010-10-19,1601242362.390000,529235805.440000,0.515195,37.942700,0.538300,-1.000000,10.182385
sh.600101,2010-01-22,2009-12-31,2010-01-22,2068880000.000000,0.000000,0.031926,0.000000,0.310000,0.914265,0.325107
sh.600109,2010-01-21,2009-12-31,2010-01-21,11017515400.000000,0.000000,-0.239680,0.000000,0.520000,-0.049384,-0.317796
sh.600131,2010-01-23,2009-12-31,2010-01-23,1791881800.000000,0.000000,0.487007,0.000000,-0.110000,-0.075557,0.621936
sh.600131,2010-07-07,2010-06-30,2010-07-07,1925553000.000000,534929100.000000,0.227863,0.000000,0.075000,0.644020,1.383092
sh.600151,2010-01-29,2009-12-31,2010-01-29,5635457000.000000,1301704000.000000,0.066172,0.000000,0.103000,0.060938,3.215951
sh.600161,2010-01-30,2009-12-31,2010-01-30,2161020417.500000,798665599.440000,0.037314,0.000000,0.430000,0.611619,0.170134
sh.600173,2010-07-13,2010-06-30,2010-07-13,4072541075.980000,1306392956.440000,0.017115,0.000000,0.124000,-1.000000,0.124541
sh.600183,2010-08-04,2010-06-30,2010-08-04,5357829580.970000,2412106570.350000,0.192804,0.000000,0.310000,1.596629,1.607953
sh.600190,2010-07-12,2010-06-30,2010-07-12,5911220600.000000,3720438300.000000,0.050902,0.000000,0.099000,0.505075,1.033191
sh.600193,2010-04-16,2009-12-31,2010-04-16,721835694.640000,328653502.480000,-0.194429,2.600000,0.050000,0.000000,-0.844274
sh.600197,2010-08-19,2010-06-30,2010-08-19,1468006875.360000,989280829.450000,0.016355,0.000000,0.199100,1.696760,0.194574
sh.600199,2010-03-23,2009-12-31,2010-03-23,1142655500.000000,652584700.000000,0.190049,0.000000,0.274000,3.900406,2.186783
sh.600219,2010-04-03,2009-12-31,2010-04-03,15296646962.030000,11596057092.230000,0.052072,7.550000,0.500000,0.435251,0.114038
sh.600251,2010-02-04,2009-12-31,2010-02-04,1788814500.000000,822050100.000000,0.003833,0.000000,0.080000,134.980921,0.065038
sh.600256,2010-07-14,2010-06-30,2010-07-14,10874356600.000000,3503966700.000000,0.060685,0.000000,0.255000,48.003854,0.321663
sh.600269,2010-02-12,2009-12-31,2010-02-12,14711000000.000000,8752000000.000000,0.056874,16.070000,0.530000,0.961472,0.166065
sh.600284,2010-03-03,2009-12-31,2010-03-03,11445023400.000000,2234620100.000000,0.138624,7.330000,0.460800,0.574688,0.549421
sh.600288,2010-10-23,2010-09-30,2010-10-23,2829656149.330000,1159078415.400000,-0.025957,3.140000,0.081900,30.262328,3.945089
sh.600292,2010-07-10,2010-06-30,2010-07-10,5283480000.000000,902770000.000000,0.002677,0.000000,0.074500,9.322136,0.194123
sh.600302,2010-04-01,2009-12-31,2010-04-01,1469974957.460000,1215960371.180000,0.019364,0.840000,0.029700,0.115473,1.514972
sh.600309,2010-02-11,2009-12-31,2010-02-11,9700243063.500000,5824292494.310000,-0.290554,22.550000,0.640000,0.016440,-0.330646
sh.600319,2010-04-15,2009-12-31,2010-04-15,3533911925.860000,967135821.630000,-0.400168,-10.880000,-0.350000,-0.154486,-8.684797
sh.600348,2010-03-16,2009-12-31,2010-03-16,17332265800.000000,5985634100.000000,0.962839,38.480000,1.930000,0.446872,1.034955
sh.600348,2010-07-13,2010-06-30,2010-07-13,21736375200.000000,7428281300.000000,0.152442,14.110000,0.517000,0.889756,0.475415
sh.600369,2010-01-13,2009-12-31,2010-01-13,14937480000.000000,0.000000,0.436329,0.000000,0.510000,82.300235,5.202625
sh.600376,2010-10-23,2010-09-30,2010-10-23,41333982352.540000,10177870174.570000,0.568244,10.890000,0.920000,386.832417,1.464484
sh.600380,2010-01-19,2009-12-31,2010-01-19,6174842300.000000,3119363100.000000,0.465409,0.000000,0.440900,0.256698,322.384000
sh.600380,2010-04-13,2010-03-31,2010-04-13,6399670700.000000,3315096500.000000,0.093034,5.860000,0.180000,6.972607,0.555653
sh.600380,2010-07-12,2010-06-30,2010-07-12,6554631100.000000,3487288500.000000,0.122307,0.000000,0.280000,0.253632,0.357506
sh.600391,2010-03-04,2009-12-31,2010-03-04,1624570000.000000,564320000.000000,-0.153282,8.410000,0.370000,0.165096,-1.000000
sh.600403,2010-02-03,2009-12-31,2010-02-03,483669800.000000,305365500.000000,0.069099,0.000000,0.170000,4.341373,0.276097
sh.600406,2010-07-20,2010-06-30,2010-07-20,2656437700.000000,1175600000.000000,0.096755,14.720000,0.320000,0.879589,0.558405
sh.600418,2010-02-26,2009-12-31,2010-02-26,12374090100.000000,4322891500.000000,0.215584,0.000000,0.260000,0.386081,57.101901
sh.600425,2010-01-16,2009-12-31,2010-01-16,3066675700.000000,0.000000,0.243507,0.000000,0.560000,0.302474,0.943071
sh.600428,2010-02-09,2009-12-31,2010-02-09,7328227600.000000,4233376500.000000,-1.001756,0.000000,0.100000,-0.434639,-0.952696
sh.600428,2010-07-09,2010-06-30,2010-07-09,8769631700.000000,4371054900.000000,0.039229,3.390000,0.110000,0.013805,0.874641
